Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,23.02.2016,2016,authorised,approved,07.09.2016,2016,Diseases of the circulatory system,000222407.pdf,Biologics,Prizbind,Reversal of the anticoagulant effects of dabigatran,no,Reversal of the anticoagulant effects of dabigatran,Nippon Boehringer Ingelheim Co. Ltd.,Boehringer Ingelheim,Not reported,Idarucizumab,no,no,solution,Not reported,NA
intravenous,22.03.2013,2013,authorised,approved,18.11.2013,2013,Neoplasms; Diseases of the blood and blood-forming organs,000229787.pdf,Biologics,Adcetris,"The following relapsed or refractory CD30-positive diseases: Hodgkin’s lymphoma, anaplastic large-cell lymphoma",no,"The following relapsed or refractory CD30-positive diseases: Hodgkin’s lymphoma, anaplastic large-cell lymphoma",Takeda Pharmaceutical Company Limited,Takeda,Not reported,Brentuximab Vedotin,no,yes,Powder,Not reported,NA
intravenous,26.05.2015,2015,authorised,approved,25.04.2016,2016,Neoplasms; Diseases of the digestive system,000219877.pdf,Biologics,Cyramza,Unresectable advanced/recurrent gastric cancer; Unresectable advanced/recurrent colorectal cancer,yes,Unresectable advanced/recurrent gastric cancer; Unresectable advanced/recurrent colorectal cancer,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Ramucirumab,yes,no,Injection,Not reported,Not reported
oral,17.11.2017,2017,authorised,approved,11.05.2018,2018,Neoplasms; Diseases of the respiratory system,000237220.pdf,Small molecule,Tafinlar,Unresectable Malignant melanoma with BRAF mutations; Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,yes,Unresectable Malignant melanoma with BRAF mutations,Novartis Pharma K.K.,Novartis,Not reported,Dabrafenib Mesilate,yes,yes,capsule,Not reported,Not reported
subcutaneous,21.02.2017,2017,authorised,approved,06.11.2017,2017,Diseases of the skin,000235351.pdf,Biologics,Dupixent,Atopic dermatitis that have not responded adequately to conventional treatments,no,Atopic dermatitis that have not responded adequately to conventional treatments,Sanofi K.K.,Sanofi,Not reported,Dupilumab,no,no,syringe,Not reported,NA
oral,12.12.2019,2019,authorised,approved,28.05.2020,2020,Neoplasms; Diseases of the respiratory system,000238885.pdf,Small molecule,Tabrecta,MET exon 14 skipping mutation-positive unresectable advanced or recurrent non-small cell lung cancer,no,MET mutation-positive unresectable advanced or recurrent non-small cell lung cancer,Novartis Pharma K.K.,Novartis,Not reported,Capmatinib Hydrochloride Hydrate,no,yes,tablet,Not reported,NA
intravenous,26.04.2011,2011,authorised,approved,01.02.2012,2012,Neoplasms; Diseases of the blood and blood-forming organs,000153052.pdf,Biologics,Poteligeo,Relapsed or refractory CCR4-positive adult T-cell leukemia lymphoma,no,Recurrent/relapsed CCR4-positive adult T-cell leukemia lymphoma,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Mogamulizumab,no,yes,solution,Not reported,NA
intramuscular,18.12.2020,2020,authorised,approved,12.02.2021,2021,Infectious and parasitic diseases,000243206.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,no,no,injection,Not reported,NA
intravenous,17.12.2015,2015,authorised,approved,09.09.2016,2016,Diseases of the blood and blood-forming organs,000221483.pdf,Biologics,Idelvion,Control of bleeding tendency in patients with blood coagulation factor IX deficiency,no,Control of bleeding tendency in patients with blood coagulation factor IX deficiency,CSL Behring K.K.,CSL Behring,Not reported,Albutrepenonacog Alfa,no,no,lyophilized powder,Not reported,NA
intramuscular,09.06.2022,2022,authorised,approved,29.08.2022,2022,Infectious and parasitic diseases,000250093.pdf,Biologics,Evusheld,Treatment and prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention and treatment of disease caused by SARS-CoV-2 infection (COVID-19),AstraZeneca K.K.,AstraZeneca,Not reported,Tixagevimab and Cilgavimab,no,no,injection,Not reported,NA
Inhalation,17.10.2014,2014,authorised,approved,03.08.2015,2015,Diseases of the respiratory system,000216005.pdf,Small molecule,Spiolto Respimat,Relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema) who require combination therapy with a long-acting inhaled anticholinergic agent and a long-acting inhaled β2-agonist.,no,"Relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD, i.e., chronic bronchitis and emphysema)","Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,Not reported,Tiotropium Bromide Hydrate/Olodaterol Hydrochloride,no,no,solution,Not reported,NA
inhalation,07.09.2018,2018,authorised,approved,30.05.2019,2019,Diseases of the respiratory system,000240531.pdf,Small molecule,Bevespi Aerosphere,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) secondary to airway obstructive disorder",no,"Relief of symptoms of chronic obstructive pulmonary disease (chronic bronchitis, emphysema) secondary to airway obstructive disorder",AstraZeneca K.K.,AstraZeneca,Not reported,Glycopyrronium Bromide /Formoterol Fumarate Hydrate,no,no,aerosol,Not reported,NA
oral,31.01.2020,2020,authorised,approved,30.10.2020,2020,Diseases of the blood and blood-forming organs,000242285.pdf,Small molecule,Orladeyo,Prevention of acute attacks of hereditary angioedema,no,Prevention of acute attacks of hereditary angioedema,"OrphanPacific, Inc.",OrphanPacific,Not reported,Berotralstat,no,yes,capsule,Not reported,NA
oral,28.07.2022,2022,authorised,approved,29.05.2023,2023,Neoplasms; Diseases of the digestive system,000267944.pdf,Small molecule,Lytgobi,Unresectable FGFR2 gene fusion-positive biliary tract cancer that has progressed after cancer chemotherapy,no,"Previously treated, locally advanced or metastatic biliary tract cancer harboring FGFR2 gene fusion or other rearrangements","Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Futibatinib,no,no,tablet,Not reported,NA
intramuscular,30.06.2017,2017,authorised,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases",000234111.pdf,Peptides and proteins,Signifor,Treatment of Cushing’s disease (who have had an inadequate response to surgery or for whom surgery is not an option),yes,Treatment of Cushing’s disease,Novartis Pharma K.K.,Novartis,Not reported,Pasireotide,yes,yes,Powder,Not reported,Not reported
intramuscular; subcutaneous,30.01.2007,2007,authorised,approved,31.08.2007,2007,Infectious and parasitic diseases; Diseases of the respiratory system,000153640.pdf,Vaccine,Adsorbed Influenza Vaccine,Prophylaxis of pandemic influenza (H5N1),no,Prophylaxis of pandemic influenza (H5N1),The Research Foundation for Microbial Diseases of Osaka University,Osaka University,Not reported,Adsorbed Influenza Vaccine,yes,yes,suspension,Not reported,Not reported
subcutaneous,30.07.2015,2015,authorised,approved,30.05.2016,2016,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000219040.pdf,Biologics,Lumicef,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",no,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies","Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Brodalumab,no,no,solution,Not reported,NA
subcutaneous,22.12.2011,2011,authorised,approved,31.08.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153683.pdf,Peptides and proteins,Tresiba,Diabetes mellitus where treatment with insulin is required,no,Diabetes mellitus where treatment with insulin is required,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Insulin Degludec,no,no,solution,Not reported,NA
Oral,28.06.2017,2017,authorised,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases",000233695.pdf,Small molecule,Galafold,Treatment of Fabry disease with migalastat-responsive GLA mutations,no,Treatment of Fabry disease with migalastat-responsive GLA mutations,"Amicus Therapeutics, Inc.",Amicus,Not reported,Migalastat,no,yes,Capsule,Not reported,NA
oral,28.12.2021,2021,authorised,approved,29.08.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,000269997.pdf,Small molecule,Ezharmia,Relapsed or refractory adult T-cell leukemia-lymphoma,no,Relapsed or refractory adult T-cell leukemia-lymphoma,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Valemetostat Tosilate,no,yes,tablet,Not reported,NA
subcutaneous,03.03.2023,2023,authorised,approved,27.11.2023,2023,Diseases of the skin,000270578.pdf,Biologics,Ebglyss,Atopic dermatitis not responding adequately to conventional treatments,no,Atopic dermatitis not responding adequately to conventional treatments,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Lebrikizumab,no,no,injection,Not reported,NA
intravenous,30.06.2006,2006,authorised,approved,31.01.2007,2007,"Endocrine, nutritional, and metabolic diseases",000153325.pdf,Biologics,Myozyme,Type II glycogen storage disease,no,Type II glycogen storage disease,Genzyme Japan K.K.,Genzyme,Not reported,Alglucosidase Alfa,no,yes,formulation,Not reported,NA
intravenous,26.08.2015,2015,authorised,approved,25.04.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000224115.pdf,Small molecule,Kyprolis,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Carfilzomib,no,yes,Powder,Not reported,NA
oral,25.10.2017,2017,authorised,approved,02.02.2018,2018,Infectious and parasitic diseases; Diseases of the respiratory system,000225380.pdf,Small molecule,Xofluza,Influenza A or B virus infection,no,Influenza A or B virus infection,"Shionogi & Co., Ltd.",Shionogi,Not reported,Baloxavir Marboxil,no,no,tablet,Not reported,NA
oral,25.12.2020,2020,authorised,approved,21.04.2021,2021,Infectious and parasitic diseases; Diseases of the respiratory system,000243207.pdf,Small molecule,Olumiant,Pneumonia caused by SARS-CoV-2 infection (COVID-19) (limited to patients requiring supplemental oxygen),yes,Disease caused by SARS-CoV-2 infection (COVID-19),Eli Lilly Japan K.K.,Eli Lilly,Not reported,Baricitinib,yes,no,tablet,Not reported,Not reported
intravenous,28.04.2006,2006,authorised,approved,30.01.2008,2008,Diseases of the musculoskeletal system and connective tissue; Neoplasms,000153709.pdf,Biologics,Actemra,Rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis; Castleman's disease,yes,Rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Tocilizumab,no,no,concentrate,Not reported,NA
intravenous,16.08.2023,2023,authorised,approved,29.02.2024,2024,Diseases of the blood and blood-forming organs,000272019.pdf,Biologics,Adzynma,Congenital thrombotic thrombocytopenic purpura,no,Congenital thrombotic thrombocytopenic purpura,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Apadamtase Alfa,no,yes,Lyophilized powder,Not reported,NA
oral,07.01.2019,2019,authorised,approved,21.05.2020,2020,Diseases of the nervous system,000241414.pdf,Small molecule,Mayzent,Prevention of relapsing secondary progressive multiple sclerosis and delay in the progression of associated physical disability,no,Prevention of relapsing secondary progressive multiple sclerosis and delay in the progression of associated physical disability,Novartis Pharma K.K.,Novartis,Not reported,Siponimod,no,yes,tablet,Not reported,NA
intravenous,14.12.2018,2018,authorised,approved,06.06.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240736.pdf,Biologics,Darzalex,Relapsed or refractory multiple myeloma,yes,Relapsed or refractory multiple myeloma,Janssen Pharmaceutical K.K.,Janssen,Not reported,Daratumumab,yes,yes,solution,Not reported,Not reported
Oral,07.03.2019,2019,authorised,approved,29.11.2019,2019,Mental and behavioural disorders,000236878.pdf,Small molecule,Dayvigo,Insomnia,no,Insomnia,"Eisai Co., Ltd.",Eisai,Not reported,Lemborexant,no,no,Tablet,Not reported,NA
oral,19.10.2015,2015,authorised,approved,09.06.2017,2017,"Endocrine, nutritional, and metabolic diseases",000226672.pdf,Small molecule,Parmodia,Hyperlipidemia (including familial hyperlipidemia),no,Hyperlipidemia (including familial hyperlipidemia),"Kowa Company, Ltd.",Kowa,Not reported,Pemafibrate,no,no,tablet,Not reported,NA
Oral,24.10.2019,2019,authorised,approved,20.05.2020,2020,Diseases of the respiratory system,000243773.pdf,Small molecule,Ofev,Idiopathic pulmonary fibrosis; Systemic sclerosis-associated interstitial lung disease; Progressive fibrosing interstitial lung disease,yes,Progressive fibrosing interstitial lung disease,"Nippon Boehringer Ingelheim Co., Ltd.",Boehringer Ingelheim,Not reported,Nintedanib,yes,no,capsule,Not reported,Not reported
Oral,29.07.2020,2020,authorised,approved,25.02.2021,2021,Diseases of the circulatory system,000248791.pdf,Small molecule,Volibris,Pulmonary arterial hypertension,yes,Pulmonary arterial hypertension,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Ambrisentan,yes,yes,Tablet,Not reported,Not reported
oral,04.07.2016,2016,authorised,approved,03.03.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000225743.pdf,Small molecule,Ninlaro,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Ixazomib Citrate,no,yes,capsule,Not reported,NA
intravenous,09.09.2019,2019,authorised,approved,26.02.2020,2020,Neoplasms,000238706.pdf,Biologics,Enhertu,Unresectable or recurrent HER2-positive breast cancer previously treated with chemotherapy,no,Unresectable or recurrent HER2-positive breast cancer previously treated with trastuzumab emtansine,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Trastuzumab Deruxtecan,no,no,injection,Not reported,NA
intramuscular,10.08.2022,2022,authorised,approved,06.09.2022,2022,Infectious and parasitic diseases,000249128.pdf,Vaccine,Spikevax,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Moderna Japan Co., Ltd.",Moderna,Not reported,Coronavirus Modified Uridine RNA Vaccine,no,no,suspension,Not reported,NA
Inhalation,15.11.2012,2012,authorised,approved,18.11.2013,2013,Infectious and parasitic diseases,000211431.pdf,Small molecule,Inavir,Treatment and prophylaxis of influenza A or B virus infection,yes,Treatment and prophylaxis of influenza A or B virus infection,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Laninamivir Octanoate Hydrate,yes,no,powder,Not reported,Not reported
oral,12.03.2007,2007,authorised,approved,29.08.2008,2008,Diseases of the respiratory system,000153687.pdf,Small molecule,Pirespa,idiopathic pulmonary fibrosis,no,idiopathic pulmonary fibrosis,"Shionogi & Co., Ltd.",Shionogi,Not reported,Pirfenidone,no,yes,tablet,Not reported,NA
oral,28.05.2020,2020,authorised,approved,25.02.2021,2021,Mental and behavioural disorders,000248223.pdf,Small molecule,Lonasen,Schizophrenia,yes,Schizophrenia,"Sumitomo Dainippon Pharma Co., Ltd.",Sumitomo Dainippon,Not reported,Blonanserin,yes,no,tablet,Not reported,Not reported
oral,11.01.2018,2018,authorised,approved,03.12.2018,2018,"Endocrine, nutritional, and metabolic diseases",000230401.pdf,Small molecule,Suglat,Type 1 diabetes mellitus,yes,Type 1 diabetes mellitus,Astellas Pharma Inc.,Astellas,Not reported,Ipragliflozin,yes,no,tablet,Not reported,Not reported
oral,27.11.2018,2018,authorised,approved,11.12.2020,2020,"Neoplasms; Endocrine, nutritional, and metabolic diseases",000242929.pdf,Small molecule,Adlumiz,Cancer cachexia,no,Improvement in body weight loss and anorexia in cancer cachexia,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Anamorelin Hydrochloride,no,no,tablet,Not reported,NA
oral,28.02.2018,2018,authorised,approved,03.12.2018,2018,Neoplasms; Diseases of the genitourinary system,000236064.pdf,Small molecule,Relumina,"Relief of symptoms associated with uterine fibroids: menorrhagia, lower abdominal pain, lumbar pain, and anemia.",no,"Relief of symptoms associated with uterine fibroids: menorrhagia, lower abdominal pain, lumbar pain, and anemia.",Takeda Pharmaceutical Company Limited,Takeda,Not reported,Relugolix,no,no,tablet,Not reported,NA
intravenous,28.04.2020,2020,authorised,approved,20.08.2020,2020,Neoplasms; Diseases of the digestive system,000238707.pdf,Biologics,Enhertu,Unresectable advanced or recurrent HER2-positive gastric cancer that has progressed after cancer chemotherapy,yes,Unresectable advanced or recurrent HER2-positive gastric cancer that has progressed after cancer chemotherapy,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Trastuzumab Deruxtecan,yes,no,Injection,Not reported,Not reported
subcutaneous,27.07.2012,2012,authorised,approved,08.03.2013,2013,"Endocrine, nutritional, and metabolic diseases",000153334.pdf,Peptides and proteins,Metreleptin,Lipodystrophy,no,Improvement of hyperglycemia and hypertriglyceridemia in lipodystrophy,"Shionogi & Co., Ltd.",Shionogi,Not reported,Metreleptin,yes,yes,solution,Not reported,Not reported
oral,05.12.2013,2013,authorised,approved,28.02.2014,2014,Infectious and parasitic diseases,000209096.pdf,Small molecule,Tivicay,HIV infectious disease,no,HIV infectious disease,ViiV Healthcare K.K.,ViiV,Not reported,Dolutegravir Sodium,no,yes,tablet,Not reported,NA
oral,24.04.2023,2023,authorised,approved,08.12.2023,2023,Neoplasms; Diseases of the circulatory system,000271105.pdf,Small molecule,Rapalimus,Refractory vascular tumors and refractory vascular malformations,yes,Refractory vascular tumors and refractory vascular malformations,"Nobelpharma Co., Ltd.",Nobel,Not reported,Sirolimus,yes,yes,tablet,Not reported,Not reported
intravenous,28.03.2019,2019,authorised,approved,09.01.2020,2020,Neoplasms; Diseases of the digestive system,000241165.pdf,Biologics,Opdivo,"Treatment of unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent esophageal cancer that has progressed after cancer chemotherapy",yes,"Treatment of unresectable, advanced or recurrent microsatellite instability-high (MSI-High) colorectal cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent esophageal cancer that has progressed after cancer chemotherapy","Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
oral,29.11.2019,2019,authorised,approved,27.08.2020,2020,Diseases of the blood and blood-forming organs,000243772.pdf,Small molecule,Enaroy,Renal anemia,no,Renal anemia,Japan Tobacco Inc.,Japan Tobacco,Not reported,Enarodustat,no,no,tablet,Not reported,NA
oral,31.10.2016,2016,authorised,approved,22.05.2017,2017,Neoplasms; Diseases of the digestive system,000227545.pdf,Small molecule,Stivarga,Unresectable hepatocellular carcinoma progressed after cancer chemotherapy,yes,Unresectable hepatocellular carcinoma progressed after cancer chemotherapy,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Regorafenib,yes,no,tablet,Not reported,Not reported
intravenous; subcutaneous,14.12.2018,2018,authorised,approved,Not reported,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240737.pdf,Small molecule,Velcade,Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,yes,Multiple myeloma; Mantle cell lymphoma; Primary macroglobulinemia and lymphoplasmacytic lymphoma,Janssen Pharmaceutical K.K.,Janssen,Not reported,Bortezomib,yes,yes,Lyophilized powder,Not reported,Not reported
oral,28.03.2018,2018,authorised,approved,30.01.2019,2019,Neoplasms,000239551.pdf,Small molecule,Erleada,Non-metastatic castration-resistant prostate cancer,no,Castration-resistant prostate cancer,Janssen Pharmaceutical K.K.,Janssen,Not reported,Apalutamide,no,no,tablet,Not reported,NA
intravenous,13.11.2019,2019,authorised,approved,29.06.2020,2020,Neoplasms; Diseases of the respiratory system,000243599.pdf,Biologics,Imfinzi,"Maintenance treatment of locally-advanced, unresectable non-small cell lung cancer following definitive chemoradiotherapy; Extensive-stage small cell lung cancer",yes,Extensive-stage small cell lung cancer,AstraZeneca K.K.,AstraZeneca,Not reported,Durvalumab,yes,no,injection,Not reported,Not reported
subcutaneous,09.03.2012,2012,authorised,approved,30.11.2012,2012,"Endocrine, nutritional, and metabolic diseases",000153726.pdf,Peptides and proteins,Ryzodeg,Diabetes mellitus where treatment with insulin is required,no,Diabetes mellitus where treatment with insulin is required,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Insulin Degludec/Insulin Aspart,no,no,solution,Not reported,NA
oral,17.12.2014,2014,authorised,approved,28.08.2015,2015,Diseases of the blood and blood-forming organs; Diseases of the digestive system,000215708.pdf,Small molecule,Mulpleta,Improvement of thrombocytopenia associated with chronic liver disease in patients prior to elective invasive procedures,no,Thrombopoiesis stimulation prior to invasive procedures in patients with chronic liver disease,"Shionogi & Co., Ltd.",Shionogi,Not reported,Lusutrombopag,no,no,tablet,Not reported,NA
oral,12.11.2019,2019,authorised,approved,26.02.2020,2020,Neoplasms; Diseases of the respiratory system,000236338.pdf,Small molecule,Tepmetko,"Unresectable, advanced or recurrent MET exon 14 skipping mutation-positive non-small cell lung cancer",no,"Unresectable, advanced or recurrent MET exon 14 skipping mutation-positive non-small cell lung cancer","Merck Biopharma Co., Ltd.",Merck,Not reported,Tepotinib Hydrochloride Hydrate,no,yes,tablet,Not reported,NA
intravenous,22.12.2015,2015,authorised,approved,09.09.2016,2016,Neoplasms; Diseases of the skin,000226881.pdf,Biologics,Keytruda,Unresectable malignant melanoma,no,Unresectable or metastatic malignant melanoma,MSD K.K.,MSD,Not reported,Pembrolizumab,no,yes,injection,Not reported,NA
subcutaneous,29.03.2010,2010,authorised,approved,24.11.2010,2010,Diseases of the blood and blood-forming organs,000236304.pdf,Peptides and proteins,Romiplate,Chronic idiopathic thrombocytopenic purpura,no,Thrombocytopenia in adult patients with chronic immune-mediated (idiopathic) thrombocytopenic purpura,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Romiplostim,no,yes,solution,Not reported,NA
intravenous; subcutaneous,11.10.2021,2021,authorised,approved,04.11.2021,2021,Infectious and parasitic diseases,000244786.pdf,Biologics,Ronapreve,Treatment and suppression of development of disease caused by SARS-CoV-2 infection (COVID-19),yes,Treatment and prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Casirivimab and Imdevimab,no,no,Injection,Not reported,NA
intravenous,24.12.2015,2015,authorised,approved,09.09.2016,2016,Neoplasms; Diseases of the blood and blood-forming organs,000233297.pdf,Biologics,Empliciti,relapsed or refractory multiple myeloma,no,relapsed or refractory multiple myeloma,Bristol-Myers Squibb K.K.,Bristol-Myers Squibb,Not reported,Elotuzumab,yes,yes,lyophilized powder,Not reported,Not reported
oral,07.04.2020,2020,authorised,approved,29.06.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,000241167.pdf,Small molecule,Velexbru,Recurrent or refractory primary central nervous system lymphoma; Waldenström’s macroglobulinemia and lymphoplasmacytic lymphoma,yes,Recurrent or refractory primary central nervous system lymphoma; Waldenström’s macroglobulinemia and lymphoplasmacytic lymphoma,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Tirabrutinib Hydrochloride,yes,yes,tablet,Not reported,Not reported
oral,19.05.2023,2023,authorised,approved,08.12.2023,2023,Diseases of the blood and blood-forming organs,000271107.pdf,Small molecule,Voydeya,Paroxysmal nocturnal hemoglobinuria,no,Inhibition of extravascular hemolysis in patients with paroxysmal nocturnal hemoglobinuria,Alexion Pharma GK,Alexion,Not reported,Danicopan,no,yes,tablet,Not reported,NA
intravenous,18.09.2008,2008,authorised,approved,23.04.2010,2010,Diseases of the musculoskeletal system and connective tissue,000153322.pdf,Biologics,Orencia,Rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),no,Rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),Bristol-Myers K.K.,Bristol-Myers,Not reported,Abatacept,no,no,Lyophilized product,Not reported,NA
intravitreal,20.10.2021,2021,authorised,approved,25.08.2022,2022,Diseases of the eye and adnexa,000264250.pdf,Biologics,Eylea,Age-related macular degeneration with subfoveal choroidal neovascularization; Macular edema secondary to retinal vein occlusion; Choroidal neovascularization in pathologic myopia; Diabetic macular edema; Neovascular glaucoma; Retinopathy of prematurity,yes,Age-related macular degeneration with subfoveal choroidal neovascularization; Macular edema secondary to retinal vein occlusion; Choroidal neovascularization in pathologic myopia; Diabetic macular edema; Neovascular glaucoma; Retinopathy of prematurity,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Aflibercept,yes,no,solution,Not reported,Not reported
subcutaneous,31.07.2018,2018,authorised,approved,28.05.2019,2019,Diseases of the blood and blood-forming organs,000236502.pdf,Biologics,Romiplate,Aplastic anemia that has not responded sufficiently to conventional treatments,yes,Aplastic anemia,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,Not reported,Romiplostim,yes,yes,Lyophilized powder,Not reported,Not reported
oral,14.12.2018,2018,authorised,approved,22.02.2019,2019,Infectious and parasitic diseases,000238705.pdf,Small molecule,Biktarvy,Human immunodeficiency virus type 1 (HIV-1) infection,no,Human immunodeficiency virus type 1 (HIV-1) infection,Gilead Sciences K.K.,Gilead,Not reported,Bictegravir Sodium/Emtricitabine/Tenofovir Alafenamide Fumarate,no,yes,tablet,Not reported,NA
oral,23.03.2018,2018,authorised,approved,29.08.2018,2018,Neoplasms; Diseases of the blood and blood-forming organs,000228502.pdf,Small molecule,Xospata,FLT3 mutation-positive relapsed or refractory acute myeloid leukemia,no,FLT3 mutation-positive relapsed or refractory acute myeloid leukemia,Astellas Pharma Inc.,Astellas,Not reported,Gilteritinib,no,yes,tablet,Not reported,NA
oral,14.09.2021,2021,authorised,approved,30.05.2022,2022,Neoplasms; Diseases of the digestive system,000252522.pdf,Small molecule,Jeselhy,Gastrointestinal stromal tumor that has progressed after cancer chemotherapy,no,Gastrointestinal stromal tumor that has progressed after cancer chemotherapy,"Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Pimitespib,no,no,tablet,Not reported,NA
oral,30.05.2006,2006,authorised,approved,30.05.2007,2007,Infectious and parasitic diseases; Diseases of the respiratory system,000153135.pdf,Small molecule,Geninax,"Laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis",no,"Laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis","Toyama Chemical Co., Ltd.",Toyama,Not reported,Garenoxacin Mesilate Hydrate,no,no,tablet,Not reported,NA
oral,31.08.2016,2016,authorised,approved,21.04.2017,2017,Neoplasms; Diseases of the respiratory system,000228503.pdf,Small molecule,Xalkori,"ROS1-positive, unresectable, advanced or relapsed non-small-cell lung cancer",yes,"ROS1-positive, unresectable, advanced or relapsed non-small-cell lung cancer",Pfizer Japan Inc.,Pfizer,Not reported,Crizotinib,no,yes,capsule,Not reported,NA
intravenous,18.08.2023,2023,authorised,approved,01.08.2024,2024,Diseases of the nervous system,000275604.pdf,Biologics,Kisunla,To slow the progression of mild cognitive impairment and mild dementia due to Alzheimer’s disease,no,To slow the progression of mild cognitive impairment and mild dementia due to Alzheimer’s disease,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Donanemab,no,no,solution,Not reported,NA
oral,25.12.2013,2013,authorised,approved,29.10.2014,2014,"Endocrine, nutritional, and metabolic diseases",000209718.pdf,Small molecule,Orfadin,Tyrosinemia type I,no,Tyrosinemia type I,Astellas Pharma Inc.,Astellas,Not reported,Nitisinone,no,Not reported,capsule,Not reported,NA
