Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravenous,08.12.2021,2021,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,09.08.2023,2023,Diseases of the skin,swisspar_spevigo_final.pdf,Biologics,Spevigo,treatment of flares in adult patients with generalised pustular psoriasis,"<Psoriasis, Pustular>",no,treatment of flares in adult patients with generalised pustular psoriasis,"<Psoriasis, Pustular>",Boehringer Ingelheim (Schweiz) GmbH,Boehringer Ingelheim,68625,spesolimab,no,yes,concentrate,Not reported,NA
subcutaneous,27.01.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,22.12.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_tecvayli.pdf,Biologics,Tecvayli,"TECVAYLI as monotherapy is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 monoclonal antibody, and have demonstrated disease progression to the last line of therapy.",<Multiple Myeloma>,no,"TECVAYLI as monotherapy is indicated for the treatment of adult patients with relapsed or refractory multiple myeloma who have received at least three prior therapies including a proteasome inhibitor, an immunomodulatory agent and an anti-CD38 monoclonal antibody.",<Multiple Myeloma>,Janssen-Cilag AG,Janssen-Cilag,68747,teclistamab,yes,yes,solution,Not reported,Not reported
oral,31.01.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,16.04.2021,2021,"Endocrine, nutritional, and metabolic diseases",swisspar_lokelma.pdf,Other,Lokelma,Lokelma is indicated for the treatment of hyperkalaemia in adult patients.,<Hyperkalemia>,no,Lokelma is indicated for the treatment of hyperkalaemia in adult patients.,<Hyperkalemia>,AstraZeneca AG,AstraZeneca,67851,natrii zirconii cyclosilicas,yes,no,Powder,Not reported,CHMP
intravenous,14.08.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,15.06.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_polivy.pdf,Biologics,Polivy,Polivy in combination with bendamustine and rituximab is indicated for the treatment of adult patients with recurrent or refractory diffuse large B-cell lymphoma (DLBCL) who are not eligible for a haematopoietic stem cell transplant.,<Diffuse Large B-Cell Lymphoma>,no,Polatuzumab vedotin in combination with bendamustine and rituximab is indicated for the treatment of previously treated adult patients with diffuse large B-cell lymphoma (DLBCL) who are not candidates for haematopoietic stem cell transplant.,<Diffuse Large B-Cell Lymphoma>,Roche Pharma (Schweiz) AG,Roche,67165,polatuzumab vedotin,no,yes,powder,Not reported,NA
intravenous,19.11.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,14.07.2022,2022,Diseases of the blood and blood-forming organs,swisspar_ultomiris_ie_final.pdf,Biologics,ULTOMIRIS,Ultomiris is used in the treatment of adult and paediatric patients with a body weight of 10 kg or above with paroxysmal nocturnal haemoglobinuria (PNH): in patients with haemolysis with one or more clinical symptom(s) indicative of high disease activity; in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months.,<Paroxysmal Nocturnal Hemoglobinuria>,yes,Ultomiris is indicated in the treatment of adult and paediatric patients with a body weight of 10 kg or above with paroxysmal nocturnal haemoglobinuria (PNH): in patients with haemolysis with clinical symptom(s) indicative of high disease activity; in patients who are clinically stable after having been treated with eculizumab for at least the past 6 months.,<Paroxysmal Nocturnal Hemoglobinuria>,Alexion Pharma GmbH,Alexion,67278,ravulizumab,yes,yes,concentrate,Not reported,EMA
intravenous,03.05.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,03.10.2024,2024,Diseases of the nervous system,swisspar-vyvgart.pdf,Biologics,Vyvgart,Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,no,Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,argenx Switzerland SA,argenx,69286,efgartigimod alfa,yes,yes,concentrate,EMEA/H/C/005849/0000,European Medicines Agency (EMA)
oral,04.10.2021,2021,authorised,SWISSMEDIC,approved,24.04.2023,2023,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases",swisspar_lupkynis_final.pdf,Small molecule,Lupkynis,"Lupkynis is indicated in combination with a background immunosuppressive therapy for the treatment of adult patients with active class III, IV, or V (including mixed classes III/V and IV/V) lupus nephritis.",<Lupus Nephritis>,no,Lupkynis is indicated in combination with background immunosuppressive therapies for the treatment of adult patients with lupus nephritis.,<Lupus Nephritis>,Otsuka Pharmaceutical,Otsuka,68697,voclosporin,yes,yes,capsule,Not reported,FDA
oral,14.10.2022,2022,authorised,SWISSMEDIC,approved,07.06.2024,2024,Diseases of the digestive system,swisspar_rinvoq_ie_colitis_ulerosa.pdf,Small molecule,Rinvoq,"Rinvoq is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response, lost response, or were intolerant to at least 1 biologic agent, or for whom such a therapy is contraindicated.",<Ulcerative Colitis>,yes,"Rinvoq is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response, lost response, or were intolerant to either conventional therapy or a biologic agent.","<Colitis, Ulcerative>",AbbVie AG,AbbVie,67257,upadacitinib,yes,no,tablet,Not reported,NA
intramuscular,15.06.2020,2020,authorised,SWISSMEDIC,approved,28.10.2021,2021,Infectious and parasitic diseases,swisspar_supemtek.pdf,Vaccine,Supemtek,Supemtek is indicated for active immunisation in adults aged 18 years and over for prevention of influenza caused by the two influenza A virus subtypes and the two influenza B virus subtypes contained in the vaccine.,<Influenza>,no,Supemtek is indicated for active immunisation for the prevention of influenza disease in adults 18 years of age and older.,<Influenza>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,68003,"haemagglutininum influenzae A (H1N1) (rHA), haemagglutininum influenzae A (H3N2) (rHA), haemagglutininum influenzae B (rHA) (Yamagata lineage) and haemagglutininum influenzae B (rHA) (Victoria lineage)",yes,no,solution,Not reported,EMA
intravenous,16.05.2022,2022,authorised,SWISSMEDIC,approved,21.12.2023,2023,Diseases of the nervous system; Other,swisspar_elucirem-1.pdf,Small molecule,Elucirem,"In adults, ELUCIREM is a gadolinium-based contrast agent indicated in adults for use with magnetic resonance imaging (MRI) to detect and visualise lesions with abnormal vascularity in the CNS area and in other areas of the body.",Not Reported,no,Magnetic resonance imaging (MRI) contrast media for central nervous system (CNS) diagnostics and other body regions.,Not Reported,Guerbet AG,Guerbet,68791,gadopiclenol,no,no,solution,Not reported,NA
autologous; intravenous,20.07.2020,2020,authorised,SWISSMEDIC,approved,25.08.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,2024-10-08_swisspar_tecartus_initiale_maa_nas_final_fi_engl.pdf,Cell and gene therapy,Tecartus,Treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) after 2 or more lines of systemic therapy including a Bruton’s tyrosine kinase (BTK) inhibitor.,<Mantle Cell Lymphoma>,no,Treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL).,<Mantle Cell Lymphoma>,Gilead Sciences Switzerland Sàrl,Gilead,67884,brexucaptagene autoleucel,yes,yes,dispersion,Not reported,NA
oral,02.11.2020,2020,authorised,SWISSMEDIC,approved,07.04.2022,2022,Diseases of the digestive system,swisspar_colibiogen_oral_final.pdf,Other,Colibiogen Oral,"Colibiogen Oral is used for the supportive, symptomatic treatment of irritable bowel syndrome in adults.",<Irritable Bowel Syndrome>,no,Colibiogen Oral is an intestinal mucosal - and immunotherapeutic and is used to treat irritable bowel syndrome.,<Irritable Bowel Syndrome>,Laves Arzneimittel GmbH,Laves,68052,Escherichia coli lysate (strain Laves),yes,no,solution,Not reported,authority of canton Appenzell Ausserrhoden
intravenous,27.07.2021,2021,withdrawn,SWISSMEDIC,conditional marketing authorisation,12.01.2022,2022,Infectious and parasitic diseases,swisspar_regkirona_final.pdf,Biologics,Regkirona,treatment of adults with proven coronavirus disease 2019 (COVID-19) who do not require supplemental oxygen or hospitalisation for COVID-19 and who are at high risk of progressing to severe COVID-19,<Coronavirus Infections>,no,treatment of confirmed coronavirus disease 2019 (COVID-19) in adult patients who do not require supplemental oxygen for COVID-19 and who are at high risk of progressing to severe COVID-19,<Coronavirus Infections>,IQONE HEALTHCARE SWITZERLAND,IQONE,68356,regdanvimab,no,no,concentrate,Not reported,NA
intravenous,16.06.2021,2021,authorised,SWISSMEDIC,approved,08.08.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,2024-11-22_final_swisspar_carvykti_nas_fi_engl.pdf,Cell and gene therapy,CARVYKTI,"treatment of adult patients with relapsed and refractory multiple myeloma who have received at least 3 prior therapies, with at least a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 antibody, and have demonstrated disease progression on the last therapy",<Multiple Myeloma>,no,"treatment of adult patients with relapsed or refractory multiple myeloma who have received at least 3 prior therapies, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 antibody",<Multiple Myeloma>,Janssen-Cilag AG,Janssen-Cilag,67956,ciltacabtagene autoleucel,yes,yes,dispersion,Not reported,NA
intramuscular,31.08.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,12.10.2023,2023,Diseases of the skin,swisspar_letybo.pdf,Biologics,Letybo,"Temporary improvement in the appearance of moderate to severe vertical wrinkles between the eyebrows in adults < 75 years old seen at maximum frown (glabellar frown lines), when the severity of the facial wrinkles has an important psychological impact.",Not Reported,no,"Temporary improvement in the appearance of moderate to severe vertical wrinkles between the eyebrows in adults < 75 years old seen at maximum frown (glabellar frown lines), when the severity of the facial wrinkles has an important psychological impact.",<Facial Wrinkles>,Medius AG,Medius,68864,botulinum toxin type A (strain CBFC26),yes,no,powder,Not reported,"EU-Assessment Report (decentralised procedure, DE/H/6379/001/DC)"
vaginal,08.04.2021,2021,authorised,SWISSMEDIC,approved,26.07.2022,2022,Diseases of the genitourinary system,swisspar_softigyn_final.pdf,Other,SOFTIGYN,"Softigyn is used in adult women to restore and maintain the physiological vaginal flora, for example: in the presence of signs of vaginal inflammation (vaginitis), such as itching, burning or vaginal discharge; during and after local or systemic treatment with anti-infectives; as a preventive measure in case of recurrent vaginal mycosis.",<Vaginitis>; <Mycoses>,no,"Local treatment of vaginitis and vulvo-vaginitis in general. Particularly vaginitis associated with ovarian deficiency, hypofollicolinic leucorrhoea, vaginitis in children, senile vaginitis, vulvar pruritus, vaginal dystrophy.",<Vaginitis>; <Vulvovaginitis>; <Ovarian Deficiency>; <Hypofollicolinic Leucorrhoea>; <Senile Vaginitis>; <Vulvar Pruritus>; <Vaginal Dystrophy>,Labatec Pharma SA,Labatec,68467,live lactobacillus plantarum P 17630,yes,no,capsule,Not reported,Not reported
intravenous,21.10.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,17.11.2021,2021,"Endocrine, nutritional, and metabolic diseases; Diseases of the musculoskeletal system and connective tissue",swisspar_nexviadyme.pdf,Biologics,Nexviadyme,long-term enzyme replacement therapy for the treatment of patients with late-onset Pompe's disease (LOPD) (acid α-glucosidase deficiency),<Pompe Disease>,no,long-term enzyme replacement therapy for the treatment of patients with late-onset Pompe’s disease (LOPD) (acid α-glucosidase deficiency),<Pompe Disease>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,67871,avalglucosidase alfa,no,yes,powder,Not reported,NA
oral,20.03.2020,2020,authorised,SWISSMEDIC,approved,10.12.2020,2020,"Endocrine, nutritional, and metabolic diseases",swisspar_trikafta.pdf,Small molecule,TRIKAFTA,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who are either homozygous for the F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene or heterozygous for the F508del mutation in the CFTR gene with a minimal function (MF) mutation.,<Cystic Fibrosis>,no,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene.,<Cystic Fibrosis>,Vertex Pharmaceuticals (CH) GmbH,Vertex,67773,"elexacaftor, ivacaftor, tezacaftor",yes,yes,tablet,Not reported,FDA
subcutaneous,22.01.2021,2021,authorised,SWISSMEDIC,approved,24.02.2022,2022,Diseases of the skin,swisspar_adtralza_final.pdf,Biologics,ADTRALZA,treatment of adult patients with moderate-to-severe atopic dermatitis (AD) when therapy with topical prescription medications does not provide adequate disease control or is not recommended,"<Dermatitis, Atopic>",no,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,"<Dermatitis, Atopic>",Leo Pharmaceutical Products Sarath,Leo,68229,tralokinumab,no,no,solution,Not reported,NA
intravenous,24.07.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,15.07.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_clofara-final.pdf,Small molecule,Clofara,Treatment of acute lymphoblastic leukaemia (ALL) in paediatric patients who have relapsed or are refractory after receiving at least two prior regimens and where there is no other treatment option anticipated to result in a durable response.,<Precursor Cell Lymphoblastic Leukemia-Lymphoma>,no,Treatment of acute lymphoblastic leukaemia (ALL) in paediatric patients who have relapsed or are refractory after receiving at least two prior regimens and where there is no other treatment option anticipated to result in a durable response.,<Precursor Cell Lymphoblastic Leukemia-Lymphoma>,IDEOGEN AG,IDEOGEN,68107,clofarabine,yes,Not reported,concentrate,Not reported,EMA
oral,31.08.2021,2021,withdrawn,SWISSMEDIC,conditional marketing authorisation,01.06.2022,2022,Neoplasms; Diseases of the respiratory system,swisspar_exkivity.pdf,Small molecule,Exkivity,"Exkivity as monotherapy is indicated for the treatment of adult patients with epidermal growth factor receptor (EGFR) exon 20 insertion mutation-positive unresectable or metastatic non-small cell lung cancer (NSCLC), whose disease has progressed on or after platinum-containing chemotherapy.",<Non-Small Cell Lung Cancer>,no,"Exkivity as monotherapy is indicated for the treatment of adult patients with epidermal growth factor receptor (EGFR) exon 20 insertion mutation-positive locally advanced or metastatic non-small cell lung cancer (NSCLC), who have received prior platinum-based chemotherapy.",<Non-Small Cell Lung Cancer>,Takeda Pharma AG,Takeda,68147,mobocertinib,yes,yes,capsule,Not reported,FDA
subcutaneous,25.07.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,29.07.2024,2024,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin,swisspar_bimzelx_ie_psoriatic_arthritis.pdf,Biologics,Bimzelx,"Bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to 1 or more disease-modifying antirheumatic drugs (DMARDs).","<Arthritis, Psoriatic>",yes,"Bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to 1 or more disease-modifying antirheumatic drugs (DMARDs).","<Arthritis, Psoriatic>",UCB-Pharma SA,UCB,68548,bimekizumab,no,no,solution,Not reported,NA
intravenous,16.09.2020,2020,authorised,SWISSMEDIC,approved,01.09.2021,2021,Neoplasms; Diseases of the skin,swisspar_poteligeo.pdf,Biologics,Poteligeo,treatment of adult patients with relapsed or refractory mycosis fungoides (MF) or Sézary syndrome (SS) who have received at least one prior systemic therapy,<Mycosis Fungoides>; <Sézary Syndrome>,no,treatment of adult patients with mycosis fungoides (MF) or Sézary syndrome (SS) who have received at least one prior systemic therapy,<Mycosis Fungoides>; <Sézary Syndrome>,Kyowa Kirin Sàrl,Kyowa Kirin,67444,mogamulizumab,yes,yes,concentrate,EMA/H/C/004232/0000,EMA
oral,12.04.2021,2021,authorised,SWISSMEDIC,approved,19.09.2022,2022,Diseases of the blood and blood-forming organs,swisspar_tavneos.pdf,Small molecule,Tavneos,"Tavneos, as an adjunctive treatment to standard immunosuppressive treatment that includes rituximab or cyclophosphamide with glucocorticoids, is indicated for the treatment of adult patients with severe, active antineutrophil cytoplasmic antibody (ANCA)-associated vasculitis (granulomatosis with polyangiitis (GPA) and microscopic polyangiitis (MPA)).",<Vasculitis>,no,Avacopan is indicated for the treatment of adult patients with anti-neutrophil cytoplasmic autoantibody (ANCA)-associated vasculitis (granulomatosis with polyangiitis (Wegener’s) [GPA] or microscopic polyangiitis [MPA]).,<Vasculitis>,Vifor Fresenius Medical Care,Vifor Fresenius,66772,avacopan,no,yes,capsule,Not reported,NA
intravenous,11.05.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,20.01.2022,2022,Neoplasms; Diseases of the respiratory system,swisspar_rybrevant_na_nas.pdf,Biologics,Rybrevant,"Rybrevant is indicated as monotherapy for the treatment of patients with metastatic or unresectable, non-small cell lung cancer (NSCLC) with activating insertion mutations in Exon 20 of the epidermal-growth factor receptor (EGFR) gene whose disease has progressed on or after platinum-containing chemotherapy.",<Non-Small Cell Lung Cancer>,no,Rybrevant is indicated as monotherapy for the treatment of patients with metastatic or unresectable non-small cell lung cancer (NSCLC) with activating epidermal-growth factor receptor (EGFR) Exon 20 insertion mutations whose disease has progressed on or after platinum-containing chemotherapy.,<Non-Small Cell Lung Cancer>,Janssen-Cilag AG,Janssen-Cilag,68380,amivantamab,no,no,concentrate,Not reported,NA
oral,01.05.2023,2023,authorised,SWISSMEDIC,approved,18.07.2024,2024,Diseases of the respiratory system,swisspar_levocalm.pdf,Small molecule,Levocalm,"Symptomatic treatment of non-productive cough in adults, adolescents and children from the age of 2 years.",<Nonproductive Cough>,no,Symptomatic treatment of non-productive cough.,<Nonproductive Cough>,Gebro Pharma AG,Gebro,69413,levodropropizine,yes,no,syrup,Not reported,NA
oral,05.05.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,04.06.2024,2024,Neoplasms,swisspar_orserdu.pdf,Small molecule,Orserdu,"Orserdu is used as monotherapy for the treatment of postmenopausal women with estrogen receptor (ER)-positive, HER2-negative, locally advanced or metastatic breast cancer with an activating ESR1 mutation, whose disease has progressed after at least 1 line of endocrine therapy combined with a CDK 4/6 inhibitor.",<Breast Neoplasms>,no,"Orserdu monotherapy is indicated for the treatment of postmenopausal women, and men, with estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative, advanced or metastatic breast cancer with an ESR1 mutation who have progressed following at least 1 line of endocrine therapy.",<Breast Neoplasms>,Stemline Therapeutics Switzerland GmbH,Stemline,69417,elacestrant as elacestrant dihydrochloride,yes,no,tablet,Not reported,FDA
intravenous,07.09.2021,2021,authorised,SWISSMEDIC,approved,16.08.2022,2022,Diseases of the skin; Diseases of the genitourinary system,swisspar_kapruvia.pdf,Peptides and proteins,Kapruvia,treatment of moderate to severe pruritus associated with chronic kidney disease in adult patients on haemodialysis,<Pruritus>; <Chronic Kidney Disease>,no,treatment of moderate to severe pruritus associated with chronic kidney disease in adult patients on haemodialysis,<Pruritus>; <Chronic Kidney Disease>,Vifor Fresenius Medical Care,Vifor Fresenius,68653,difelikefalin,no,no,solution,Not reported,NA
oral,16.06.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,23.03.2021,2021,Diseases of the musculoskeletal system and connective tissue,swisspar_rinvoq_psor_arthr_final.pdf,Small molecule,Rinvoq,"RINVOQ is indicated for the treatment of active psoriatic arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more DMARDs. RINVOQ may be used as monotherapy or in combination with non-biologic DMARDs.","<Arthritis, Psoriatic>",yes,"RINVOQ is used to treat adults with active psoriatic arthritis who have responded poorly to, or cannot tolerate, treatment with one or more disease-modifying anti-rheumatic drugs (DMARDs). RINVOQ may be used as monotherapy or in combination with non-biological DMARDs. RINVOQ inhibits the progression of structural damage and improves physical functions.","<Arthritis, Psoriatic>",AbbVie AG,AbbVie,67257,upadacitinib,yes,no,tablet,Not reported,NA
oral,19.10.2020,2020,authorised,SWISSMEDIC,approved,26.11.2021,2021,Diseases of the skin,swisspar_rinvoq_ie.pdf,Small molecule,Rinvoq,RINVOQ is indicated for the treatment of moderate to severe atopic dermatitis in adults when conventional topical drug therapy does not provide adequate disease control or cannot be used.,"<Dermatitis, Atopic>",yes,RINVOQ is indicated for the treatment of moderate to severe atopic dermatitis in adults who are candidates for systemic therapy.,"<Dermatitis, Atopic>",AbbVie AG,AbbVie,67257,upadacitinib as upadacitinib hemihydrate,yes,no,tablet,Not reported,NA
oral,11.07.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,18.10.2023,2023,Diseases of the nervous system,swisspar_vydura.pdf,Small molecule,Vydura,"Acute treatment of migraine attacks with or without aura in adults; Prophylactic treatment of episodic migraine in adults, if indicated.",<Migraine Disorders>,no,Acute treatment of migraine with or without aura in adults; Preventive treatment of episodic migraine in adults who have at least 4 migraine attacks per month.,<Migraine Disorders>,Pfizer AG,Pfizer,69035,rimegepant,yes,no,lyophilisate,Not reported,European Medicines Agency
subcutaneous,07.07.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,09.07.2024,2024,"Endocrine, nutritional, and metabolic diseases",swisspar_mounjaro_ie.pdf,Peptides and proteins,Mounjaro,"Mounjaro is indicated as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management, including weight loss and weight maintenance, in adults with an initial body mass index (BMI) of ≥30 kg/m2 (obesity) or ≥27 kg/m2 to < 30kg/m2 (overweight) in the presence of at least 1 weight-related comorbid condition (e.g. hypertension, dyslipidaemia, obstructive sleep apnoea, cardiovascular disease, prediabetes, or type 2 diabetes mellitus).","<Obesity>; <Overweight>; <Hypertension>; <Dyslipidemias>; <Sleep Apnea, Obstructive>; <Cardiovascular Diseases>; <Prediabetic State>; <Diabetes Mellitus, Type 2>",yes,"Mounjaro is indicated as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management, including weight loss and weight maintenance, in adults with an initial body mass index (BMI) of: ≥30 kg/m2 (obesity), or ≥27 kg/m2 to <30 kg/m2 (overweight) and in the presence of at least 1 weight-related comorbidity condition (e.g. hypertension, dyslipidaemia, obstructive sleep apnoea, cardiovascular disease, prediabetes, or type 2 diabetes mellitus.)","<Obesity>; <Overweight>; <Hypertension>; <Dyslipidemias>; <Sleep Apnea, Obstructive>; <Cardiovascular Diseases>; <Prediabetic State>; <Diabetes Mellitus, Type 2>",Eli Lilly (Suisse) SA,Eli Lilly,68726,tirzepatide,no,no,solution,Not reported,NA
intravenous,17.06.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,06.03.2023,2023,Neoplasms,swisspar_enhertu_g102673750.pdf,Biologics,Enhertu,HER2-low breast cancer,<Breast Neoplasms>,yes,HER2-low Breast Cancer,<Breast Neoplasms>,Daiichi Sankyo (Schweiz) AG,Daiichi Sankyo,67967,trastuzumab deruxtecan,yes,no,powder,Not reported,Not reported
oral,29.11.2019,2019,authorised,SWISSMEDIC,approved,04.03.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_calquence_final.pdf,Small molecule,Calquence,CALQUENCE monotherapy or in combination with obinutuzumab is indicated for the treatment of adult patients with previously untreated chronic lymphocytic leukaemia (CLL) who are 65 years and older or have comorbidities.,"<Leukemia, Lymphocytic, Chronic, B-Cell>",no,CALQUENCE is indicated for the treatment of patients with chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL).,"<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Small Lymphocytic>",AstraZeneca AG,AstraZeneca,67790,acalabrutinib,yes,yes,capsule,Not reported,FDA and CHMP
oral,29.09.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,27.08.2024,2024,Neoplasms; Diseases of the digestive system,swisspar_fruzaqla.pdf,Small molecule,Fruzaqla,"Fruzaqla is used as monotherapy for the treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy, an anti-VEGF agent, and, in the presence of wild-type RAS, with an anti-EGFR agent, and who have progressed on or are intolerant to treatment with either trifluridine/tipiracil or regorafenib.",<Colorectal Neoplasms>,no,"Treatment of adult patients with metastatic colorectal cancer (mCRC) who have been previously treated with fluoropyrimidine‑, oxaliplatin‑, and irinotecan‑based chemotherapy, an anti‑VEGF therapy, and an anti-EGFR therapy or are not considered candidates for available therapies.",<Colorectal Neoplasms>,Takeda Pharma AG,Takeda,69524,fruquintinib,yes,no,capsule,Not reported,Not reported
oral,15.07.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,22.09.2021,2021,Diseases of the circulatory system,swisspar_verquvo.pdf,Small molecule,Verquvo,"treatment of symptomatic, chronic heart failure in adult patients with reduced ejection fraction who have been stabilised after a recent decompensation requiring i.v. therapy",<Heart Failure>,no,Heart failure,<Heart Failure>,Bayer (Schweiz) AG,Bayer,68001,vericiguat,yes,no,tablet,Not reported,Not reported
oral,02.08.2021,2021,authorised,SWISSMEDIC,approved,11.01.2023,2023,Diseases of the musculoskeletal system and connective tissue,swisspar_condrosulf_plus.pdf,Other,Condrosulf Plus,Symptomatic treatment of knee osteoarthritis in adult patients with moderate to severe pain.,"<Osteoarthritis, Knee>",no,Symptomatic treatment of knee osteoarthritis in patients with moderate to severe pain.,"<Osteoarthritis, Knee>",IBSA Institut Biochimique SA,IBSA,68626,"chondroitin sulfate sodium, glucosamine hydrochloride",yes,no,capsule,Not reported,NA
oral,18.02.2019,2019,authorised,SWISSMEDIC,approved,29.07.2020,2020,"Endocrine, nutritional, and metabolic diseases",swisspar_pheburane-final.pdf,Small molecule,Pheburane,"PHEBURANE is indicated as adjunctive therapy in the chronic management of urea cycle disorders, involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase or argininosuccinate synthetase. It is indicated in all patients with neonatal-onset presentation (complete enzyme deficiencies, presenting within the first 28 days of life). It is also indicated in patients with late-onset disease (partial enzyme deficiencies, presenting after the first month of life) who have a history of hyperammonaemic encephalopathy.",<Urea Cycle Disorders>,no,"PHEBURANE is indicated as adjunctive therapy in the chronic management of urea cycle disorders, involving deficiencies of carbamylphosphate synthetase, ornithine transcarbamylase or argininosuccinate synthetase. It is indicated in all patients with neonatal-onset presentation (complete enzyme deficiencies, presenting within the first 28 days of life). It is also indicated in patients with late-onset disease (partial enzyme deficiencies, presenting after the first month of life) who have a history of hyperammonaemic encephalopathy.",<Hyperammonemia>,NordMedica SA,NordMedica,67263,natrii phenylbutyras,yes,yes,Granules,Not reported,NA
intravenous,13.12.2021,2021,authorised,SWISSMEDIC,approved,30.06.2022,2022,Neoplasms,swisspar_enhertu_ie_mbc_2l_g102661094.pdf,Biologics,Enhertu,"Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received one or more prior anti-HER2-based regimens, including trastuzumab and a taxane, and had a progression either in the metastatic setting or within 6 months after finalisation of an adjuvant or neoadjuvant therapy.",<Breast Neoplasms>,yes,Enhertu monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received a prior anti-HER2-based regimen.,<Breast Neoplasms>,Daiichi Sankyo (Schweiz) AG,Daiichi Sankyo,67967,trastuzumab deruxtecan,yes,no,powder,Not reported,NA
