Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
02474832,,mar-perindopril,perindopril erbumine,marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,11.04.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96502
02474840,,mar-perindopril,perindopril erbumine,marcan pharmaceuticals inc,small molecule,tablet,oral,approved,approved,11.04.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96503
02474875,,xultophy,insulin degludec; liraglutide,novo nordisk canada inc,peptides and proteins,solution,subcutaneous,approved,approved,11.04.2018,2018,,,,,,,,,,,HealthCanada,,,,novo nordisk,,96506
02474867,,sleep-eze eze-free,diphenhydramine hydrochloride,medtech products inc,small molecule,solution,oral,approved,approved,10.04.2018,2018,,,,,,,,,,,HealthCanada,,,,medtech,,96508
02474883,,fucibet,betamethasone (betamethasone valerate); fusidic acid,leo pharma inc,small molecule,cream,topical,approved,approved,12.04.2018,2018,,,,,,,,,,,HealthCanada,,,,leo,,96510
02474891,,methotrexate injection bp,methotrexate (methotrexate sodium),accord healthcare inc,small molecule,solution,intravenous,approved,approved,12.04.2018,2018,,,,,,,,,,,HealthCanada,,,,accord,,96511
02474980,,morphine sulfate injection bp,morphine sulfate,sterimax inc,small molecule,solution,subcutaneous; intramuscular; intravenous,approved,approved,20.04.2018,2018,,,,,,,,,,,HealthCanada,,,,sterimax,,96526
02475022,,atorvastatin,atorvastatin (atorvastatin calcium),laboratoire riva inc.,small molecule,tablet,oral,approved,approved,24.04.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96530
02475030,,atorvastatin,atorvastatin (atorvastatin calcium),laboratoire riva inc.,small molecule,tablet,oral,approved,approved,24.04.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96531
02475049,,atorvastatin,atorvastatin (atorvastatin calcium),laboratoire riva inc.,small molecule,tablet,oral,approved,approved,24.04.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96532
02475057,,atorvastatin,atorvastatin (atorvastatin calcium),laboratoire riva inc.,small molecule,tablet,oral,approved,approved,24.04.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96533
02475065,,diclofenac,diclofenac sodium,pharma stulln inc.,small molecule,solution,ophthalmic,approved,approved,24.04.2018,2018,,,,,,,,,,,HealthCanada,,,,stulln,,96535
02475189,,complete moisture,octinoxate; octisalate,blistex corporation,small molecule,stick,topical,approved,approved,25.04.2018,2018,,,,,,,,,,,HealthCanada,,,,blistex,,96549
02475200,,lynparza,olaparib,astrazeneca canada inc,small molecule,tablet,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,astrazeneca,,96554
02475219,,lynparza,olaparib,astrazeneca canada inc,small molecule,tablet,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,astrazeneca,,96555
02475278,,donepezil,donepezil hydrochloride,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,02.05.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96563
02475286,,donepezil,donepezil hydrochloride,laboratoire riva inc.,small molecule,tablet,oral,approved,approved,02.05.2018,2018,,,,,,,,,,,HealthCanada,,,,riva,,96564
02475308,,ag-duloxetine,duloxetine (duloxetine hydrochloride),angita pharma inc.,small molecule,capsule,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96567
02475316,,ag-duloxetine,duloxetine (duloxetine hydrochloride),angita pharma inc.,small molecule,capsule,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96568
02475332,,auro-lacosamide,lacosamide,auro pharma inc,small molecule,tablet,oral,marketed,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96571
02475340,,auro-lacosamide,lacosamide,auro pharma inc,small molecule,tablet,oral,marketed,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96572
02475359,,auro-lacosamide,lacosamide,auro pharma inc,small molecule,tablet,oral,marketed,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96573
02475367,,auro-lacosamide,lacosamide,auro pharma inc,small molecule,tablet,oral,marketed,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96574
02475375,,apo-ambrisentan,ambrisentan,apotex inc,small molecule,tablet,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,apotex,,96575
02475383,,apo-ambrisentan,ambrisentan,apotex inc,small molecule,tablet,oral,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,apotex,,96576
02475391,,ganciclovir for injection usp,ganciclovir (ganciclovir sodium),sterimax inc,small molecule,powder,intravenous,approved,approved,04.05.2018,2018,,,,,,,,,,,HealthCanada,,,,sterimax,,96577
02475405,,banana boat ultra sport sunscreen lotion spf 50+,octisalate; homosalate; avobenzone; octocrylene,"edgewell personal care canada, ulc",small molecule,lotion,topical,approved,approved,03.05.2018,2018,,,,,,,,,,,HealthCanada,,,,edgewell,,96579
02475413,,coppertone lotion sunscreen spf 50 sport,avobenzone; homosalate; octocrylene; octisalate,beiersdorf canada inc,small molecule,lotion,topical,approved,approved,03.05.2018,2018,,,,,,,,,,,HealthCanada,,,,beiersdorf,,96580
02475421,,sandoz silodosin,silodosin,sandoz canada incorporated,small molecule,capsule,oral,approved,approved,07.01.2021,2021,,,,,,,,,,,HealthCanada,,,,sandoz,,96581
02475448,,sandoz silodosin,silodosin,sandoz canada incorporated,small molecule,capsule,oral,approved,approved,07.01.2021,2021,,,,,,,,,,,HealthCanada,,,,sandoz,,96582
02475480,,neostigmine methylsulfate injection usp,neostigmine methylsulfate,marcan pharmaceuticals inc,small molecule,solution,subcutaneous; intravenous; intramuscular,approved,approved,08.05.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96586
02475499,,neostigmine methylsulfate injection usp,neostigmine methylsulfate,marcan pharmaceuticals inc,small molecule,solution,intramuscular; intravenous; subcutaneous,approved,approved,08.05.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96587
02475669,,ach-fingolimod,fingolimod (fingolimod hydrochloride),accord healthcare inc,small molecule,capsule,oral,approved,approved,29.03.2019,2019,,,,,,,,,,,HealthCanada,,,,accord,,96603
02475677,,jamp-vardenafil,vardenafil (vardenafil hydrochloride),jamp pharma corporation,small molecule,tablet,oral,marketed,approved,01.11.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96605
02475685,,jamp-vardenafil,vardenafil (vardenafil hydrochloride),jamp pharma corporation,small molecule,tablet,oral,marketed,approved,01.11.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96606
02475693,,jamp-vardenafil,vardenafil (vardenafil hydrochloride),jamp pharma corporation,small molecule,tablet,oral,marketed,approved,01.11.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96607
02475707,,gln-olmesartan hctz,olmesartan medoxomil; hydrochlorothiazide,glenmark pharmaceuticals canada inc.,small molecule,tablet,oral,approved,approved,14.05.2018,2018,,,,,,,,,,,HealthCanada,,,,glenmark,,96608
02475715,,gln-olmesartan hctz,hydrochlorothiazide; olmesartan medoxomil,glenmark pharmaceuticals canada inc.,small molecule,tablet,oral,approved,approved,14.05.2018,2018,,,,,,,,,,,HealthCanada,,,,glenmark,,96609
02475723,,gln-olmesartan hctz,hydrochlorothiazide; olmesartan medoxomil,glenmark pharmaceuticals canada inc.,small molecule,tablet,oral,approved,approved,14.05.2018,2018,,,,,,,,,,,HealthCanada,,,,glenmark,,96610
02476002,,ag-quetiapine,quetiapine (quetiapine fumarate),angita pharma inc.,small molecule,tablet,oral,approved,approved,22.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96640
02476142,,ag-pravastatin,pravastatin sodium,angita pharma inc.,small molecule,tablet,oral,approved,approved,24.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96641
02476150,,ag-pravastatin,pravastatin sodium,angita pharma inc.,small molecule,tablet,oral,approved,approved,24.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96642
02476169,,ag-pravastatin,pravastatin sodium,angita pharma inc.,small molecule,tablet,oral,approved,approved,24.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96643
02475774,,juluca,rilpivirine (rilpivirine hydrochloride); dolutegravir (dolutegravir sodium),viiv healthcare ulc,small molecule,tablet,oral,approved,approved,18.05.2018,2018,,,,,,,,,,,HealthCanada,,,,viiv,,96645
02475804,,taro-bupropion xl,bupropion hydrochloride,sun pharma canada inc,small molecule,tablet,oral,approved,approved,22.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sun,,96647
02475812,,taro-bupropion xl,bupropion hydrochloride,sun pharma canada inc,small molecule,tablet,oral,approved,approved,22.08.2018,2018,,,,,,,,,,,HealthCanada,,,,sun,,96648
02475839,,ag-zopiclone,zopiclone,angita pharma inc.,small molecule,tablet,oral,approved,approved,28.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96656
02475847,,ag-zopiclone,zopiclone,angita pharma inc.,small molecule,tablet,oral,approved,approved,28.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96657
02475855,,extra strength bismuth,bismuth subsalicylate,juno otc inc,small molecule,suspension,oral,approved,approved,17.05.2018,2018,,,,,,,,,,,HealthCanada,,,,juno,,96658
02475863,,teva-mometasone,mometasone furoate,teva canada limited,small molecule,spray,nasal,approved,approved,18.05.2018,2018,,,,,,,,,,,HealthCanada,,,,teva,,96662
02475898,,ag-ezetimibe,ezetimibe,angita pharma inc.,small molecule,tablet,oral,approved,approved,29.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96664
02476851,,nra-escitalopram,escitalopram (escitalopram oxalate),nora pharma inc,small molecule,tablet,oral,approved,approved,04.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96678
02476878,,nra-escitalopram,escitalopram (escitalopram oxalate),nora pharma inc,small molecule,tablet,oral,approved,approved,04.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96679
02475936,,ag-topiramate,topiramate,angita pharma inc.,small molecule,tablet,oral,approved,approved,22.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96680
02475944,,ag-topiramate,topiramate,angita pharma inc.,small molecule,tablet,oral,approved,approved,22.05.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96681
02476517,,nra-atorvastatin,atorvastatin (atorvastatin calcium),nora pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96687
02476525,,nra-atorvastatin,atorvastatin (atorvastatin calcium),nora pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96688
02476533,,nra-atorvastatin,atorvastatin (atorvastatin calcium),nora pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96689
02476541,,nra-atorvastatin,atorvastatin (atorvastatin calcium),nora pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96690
02476452,,nra-amlodipine,amlodipine (amlodipine besylate),nora pharma inc,small molecule,tablet,oral,approved,approved,30.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96694
02476460,,nra-amlodipine,amlodipine (amlodipine besylate),nora pharma inc,small molecule,tablet,oral,approved,approved,30.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96695
02476479,,nra-amlodipine,amlodipine (amlodipine besylate),nora pharma inc,small molecule,tablet,oral,approved,approved,30.05.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96696
02476045,,pyrithione zinc dandruff shampoo 2in1 men full & thick,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,23.05.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96699
02476053,,pyrithione zinc dandruff shampoo 2in1 men refreshing menthol,pyrithione zinc,procter & gamble inc,other,shampoo,topical,approved,approved,23.05.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96700
02476061,,pyrithione zinc dandruff shampoo men refreshing menthol,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,23.05.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96701
02476088,,jamp-vardenafil odt,vardenafil (vardenafil hydrochloride trihydrate),jamp pharma corporation,small molecule,tablet,oral,approved,approved,05.06.2019,2019,,,,,,,,,,,HealthCanada,,,,jamp,,96702
02476118,,face & neck multi action visage et cou multi action day cream / crème de jour spf 30 / fps 30,octisalate; avobenzone; octocrylene,the boots company plc,small molecule,cream,topical,approved,approved,23.05.2018,2018,,,,,,,,,,,HealthCanada,,,,boots,,96704
02479117,,nra-pregabalin,pregabalin,nora pharma inc,small molecule,capsule,oral,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96708
02479125,,nra-pregabalin,pregabalin,nora pharma inc,small molecule,capsule,oral,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96709
02479133,,nra-pregabalin,pregabalin,nora pharma inc,small molecule,capsule,oral,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96710
02479168,,nra-pregabalin,pregabalin,nora pharma inc,small molecule,capsule,oral,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96712
02479192,,nra-pregabalin,pregabalin,nora pharma inc,small molecule,capsule,oral,approved,approved,20.07.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96715
02476819,,nra-sildenafil,sildenafil (sildenafil citrate),nora pharma inc,small molecule,tablet,oral,approved,approved,01.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96718
02476193,,pyrithione zinc dandruff shampoo men 2in1 swagger,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,24.05.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96721
02476266,,pyrithione zinc dandruff shampoo men swagger,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,25.05.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96727
02476274,,m-pravastatin,pravastatin sodium,mantra pharma inc,small molecule,tablet,oral,approved,approved,28.05.2018,2018,,,,,,,,,,,HealthCanada,,,,mantra,,96728
02476282,,m-pravastatin,pravastatin sodium,mantra pharma inc,small molecule,tablet,oral,approved,approved,28.05.2018,2018,,,,,,,,,,,HealthCanada,,,,mantra,,96729
02476290,,m-pravastatin,pravastatin sodium,mantra pharma inc,small molecule,tablet,oral,approved,approved,28.05.2018,2018,,,,,,,,,,,HealthCanada,,,,mantra,,96730
02476487,,auro-olmesartan hctz,olmesartan medoxomil; hydrochlorothiazide,auro pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96741
02476495,,auro-olmesartan hctz,olmesartan medoxomil; hydrochlorothiazide,auro pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96742
02476509,,auro-olmesartan hctz,hydrochlorothiazide; olmesartan medoxomil,auro pharma inc,small molecule,tablet,oral,approved,approved,31.05.2018,2018,,,,,,,,,,,HealthCanada,,,,auro,,96743
02476576,,pms-progesterone,progesterone,pharmascience inc,peptides and proteins,capsule,oral,approved,approved,01.06.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96745
02476762,,mint-perindopril,perindopril erbumine,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,04.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96760
02476770,,mint-perindopril,perindopril erbumine,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,04.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96761
02476789,,mint-perindopril,perindopril erbumine,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,04.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96762
02476835,,restasis multidose,cyclosporine,abbvie corporation,peptides and proteins,emulsion,ophthalmic,approved,approved,01.06.2018,2018,,,,,,,,,,,HealthCanada,,,,abbvie,,96764
02476908,,mint-candesartan,candesartan cilexetil,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96769
02476916,,mint-candesartan,candesartan cilexetil,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96770
02476924,,mint-candesartan,candesartan cilexetil,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96771
02476932,,mint-candesartan,candesartan cilexetil,mint pharmaceuticals inc,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,mint,,96772
02476991,,eucrisa,crisaborole,pfizer canada ulc,small molecule,ointment,topical,approved,approved,07.06.2018,2018,,,,,,,,,,,HealthCanada,,,,pfizer,,96774
02477009,,jamp perindopril,perindopril erbumine,jamp pharma corporation,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96775
02477017,,jamp perindopril,perindopril erbumine,jamp pharma corporation,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96776
02477025,,jamp perindopril,perindopril erbumine,jamp pharma corporation,small molecule,tablet,oral,approved,approved,05.06.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96777
02477572,,ag-ramipril,ramipril,angita pharma inc.,small molecule,capsule,oral,approved,approved,21.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96784
02477580,,ag-ramipril,ramipril,angita pharma inc.,small molecule,capsule,oral,approved,approved,21.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96785
02477599,,ag-ramipril,ramipril,angita pharma inc.,small molecule,capsule,oral,approved,approved,21.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96786
02477114,,reddy-abiraterone,abiraterone acetate,dr reddy's laboratories ltd,small molecule,tablet,oral,approved,approved,01.02.2021,2021,,,,,,,,,,,HealthCanada,,,,dr reddy's,,96788
02477130,,apo-acyclovir ointment,acyclovir,apotex inc,small molecule,ointment,topical,approved,approved,08.06.2018,2018,,,,,,,,,,,HealthCanada,,,,apotex,,96789
02477211,,pyrithione zinc dandruff shampoo men 2in1 pure sport,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,12.06.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96806
02477238,,pyrithione zinc dandruff shampoo men pure sport,pyrithione zinc,procter & gamble inc,small molecule,shampoo,topical,approved,approved,12.06.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96807
02477882,,ag-sertraline,sertraline (sertraline hydrochloride),angita pharma inc.,small molecule,capsule,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96809
02477890,,ag-sertraline,sertraline (sertraline hydrochloride),angita pharma inc.,small molecule,capsule,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96810
02477904,,ag-sertraline,sertraline (sertraline hydrochloride),angita pharma inc.,small molecule,capsule,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96811
02477254,,phenylephrine hydrochloride injection usp,phenylephrine hydrochloride,marcan pharmaceuticals inc,small molecule,solution,subcutaneous; intramuscular; intravenous,approved,approved,12.06.2018,2018,,,,,,,,,,,HealthCanada,,,,marcan,,96812
02477742,,ag-escitalopram,escitalopram (escitalopram oxalate),angita pharma inc.,small molecule,tablet,oral,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96819
02477769,,ag-escitalopram,escitalopram (escitalopram oxalate),angita pharma inc.,small molecule,tablet,oral,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96821
02477289,,pyrithione zinc dandruff shampoo men 2in1 fiji,pyrithione zinc,procter & gamble inc,other,shampoo,topical,approved,approved,13.06.2018,2018,,,,,,,,,,,HealthCanada,,,,procter & gamble,,96824
02477297,,lait solaire corps lotion protectrice corps fps 30,homosalate; drometrizole trisiloxane; octisalate; avobenzone; oxybenzone; octocrylene,biotherm canada,small molecule,lotion,topical,approved,approved,14.06.2018,2018,,,,,,,,,,,HealthCanada,,,,biotherm,,96825
02477319,,soin solaire visage crème protectrice visage fps 50 plus,avobenzone; drometrizole trisiloxane; octisalate; octocrylene; homosalate,biotherm canada,small molecule,cream,topical,approved,approved,14.06.2018,2018,,,,,,,,,,,HealthCanada,,,,biotherm,,96827
02477637,,nra-citalopram,citalopram (citalopram hydrobromide),nora pharma inc,small molecule,tablet,oral,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96828
02477645,,nra-citalopram,citalopram (citalopram hydrobromide),nora pharma inc,small molecule,tablet,oral,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96829
02477653,,nra-citalopram,citalopram (citalopram hydrobromide),nora pharma inc,small molecule,tablet,oral,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96830
02477327,,dexmedetomidine hydrochloride for injection,dexmedetomidine (dexmedetomidine hydrochloride),accord healthcare inc,small molecule,solution,intravenous,approved,approved,03.01.2019,2019,,,,,,,,,,,HealthCanada,,,,accord,,96831
02477343,,pms-busulfan,busulfan,pharmascience inc,small molecule,solution,intravenous,approved,approved,15.06.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96833
02477378,,nra-zopiclone,zopiclone,nora pharma inc,small molecule,tablet,oral,approved,approved,18.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96835
02477386,,nra-zopiclone,zopiclone,nora pharma inc,small molecule,tablet,oral,approved,approved,18.06.2018,2018,,,,,,,,,,,HealthCanada,,,,nora,,96836
02477432,,hanzema,alitretinoin,dr. reddy's laboratories inc,small molecule,capsule,oral,approved,approved,20.08.2018,2018,,,,,,,,,,,HealthCanada,,,,dr. reddy's,,96841
02477440,,hanzema,alitretinoin,dr. reddy's laboratories inc,small molecule,capsule,oral,approved,approved,20.08.2018,2018,,,,,,,,,,,HealthCanada,,,,reddy's,,96842
02477823,,paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),altamed pharma,small molecule,tablet,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,altamed,,96844
02477831,,paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),altamed pharma,small molecule,tablet,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,altamed,,96845
02477858,,paroxetine,paroxetine (paroxetine hydrochloride hemihydrate),altamed pharma,small molecule,tablet,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,altamed,,96846
02477521,,banana boat ultra sport sunscreen lotion spf 30,avobenzone; homosalate; octisalate; octocrylene,"edgewell personal care canada, ulc",small molecule,lotion,topical,approved,approved,20.06.2018,2018,,,,,,,,,,,HealthCanada,,,,edgewell,,96858
02477548,,banana boat ultra sport clear sunscreen spray spf 30,avobenzone; octocrylene; homosalate,"edgewell personal care canada, ulc",other,spray,topical,approved,approved,20.06.2018,2018,,,,,,,,,,,HealthCanada,,,,edgewell,,96859
02477556,,banana boat ultra sport clear sunscreen spray spf 50 plus,octocrylene; avobenzone; homosalate; octisalate,"edgewell personal care canada, ulc",small molecule,spray,topical,approved,approved,20.06.2018,2018,,,,,,,,,,,HealthCanada,,,,edgewell,,96860
02477696,,voriconazole for injection,voriconazole,jamp pharma corporation,small molecule,powder,intravenous,approved,approved,12.12.2018,2018,,,,,,,,,,,HealthCanada,,,,jamp,,96863
02477726,,ag-amoxicillin,amoxicillin (amoxicillin trihydrate),angita pharma inc.,small molecule,capsule,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,angita,,96865
02477777,,monoferric,iron (ferric derisomaltose),pharmacosmos a/s,other,solution,intravenous,approved,approved,22.06.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmacosmos,,96866
02477947,,olimel 7.6%,olive oil; alanine; l-aspartic acid; l-valine; l-phenylalanine; l-threonine; serine; histidine; glycine; methionine; l-isoleucine; l-tyrosine; soybean oil; l-arginine; l-proline; l-leucine; dextrose; lysine (l-lysine acetate); glutamic acid; tryptophan,baxter corporation,peptides and proteins,emulsion,intravenous,approved,approved,26.06.2018,2018,,,,,,,,,,,HealthCanada,,,,baxter,,96873
02477955,,olimel 7.6% e,dextrose; glutamic acid; alanine; l-threonine; l-leucine; l-proline; serine; histidine; sodium acetate trihydrate; methionine; soybean oil; olive oil; glycine; l-phenylalanine; tryptophan; sodium glycerophosphate; potassium chloride; l-isoleucine; magnesium chloride; l-arginine; l-tyrosine; l-aspartic acid; l-valine; calcium chloride; lysine (l-lysine acetate),baxter corporation,peptides and proteins,emulsion,intravenous,approved,approved,26.06.2018,2018,,,,,,,,,,,HealthCanada,,,,baxter,,96874
02478072,,children's benadryl bug bite relief,zinc acetate; diphenhydramine hydrochloride,mcneil consumer healthcare division of johnson & johnson inc,small molecule,solution,topical,approved,approved,26.06.2018,2018,,,,,,,,,,,HealthCanada,,,,johnson & johnson,,96880
02478080,,symdeko,ivacaftor; tezacaftor,vertex pharmaceuticals (canada) incorporated,small molecule,tablet,oral,approved,approved,27.06.2018,2018,,,,,,,,,,,HealthCanada,,,,vertex,,96881
02478110,,extra strength tylenol sinus pressure & pain,acetaminophen; pseudoephedrine hydrochloride,mcneil consumer healthcare division of johnson & johnson inc,small molecule,tablet,oral,approved,approved,26.06.2018,2018,,,,,,,,,,,HealthCanada,,,,johnson & johnson,,96884
02478196,,pharma-lacosamide,lacosamide,pharmascience inc,small molecule,tablet,oral,approved,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96892
02478218,,pharma-lacosamide,lacosamide,pharmascience inc,small molecule,tablet,oral,approved,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96893
02478226,,pharma-lacosamide,lacosamide,pharmascience inc,small molecule,tablet,oral,approved,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96894
02478234,,pharma-lacosamide,lacosamide,pharmascience inc,small molecule,tablet,oral,marketed,approved,01.10.2018,2018,,,,,,,,,,,HealthCanada,,,,pharmascience,,96895
02478242,,children's clear allergy formula,diphenhydramine hydrochloride,juno otc inc,small molecule,solution,oral,approved,approved,28.06.2018,2018,,,,,,,,,,,HealthCanada,,,,juno,,96896
02478250,,coppertone spray sunscreen spf 30 sport,octisalate; octocrylene; avobenzone; homosalate,beiersdorf canada inc,small molecule,spray,topical,approved,approved,28.06.2018,2018,,,,,,,,,,,HealthCanada,,,,beiersdorf,,96901
02478269,,coppertone lotion sunscreen spf 50 kids,octisalate; octocrylene; homosalate; avobenzone,beiersdorf canada inc,small molecule,lotion,topical,approved,approved,28.06.2018,2018,,,,,,,,,,,HealthCanada,,,,beiersdorf,,96902
02478285,,coppertone spray sunscreen spf 30 sun guard,avobenzone; octisalate; octocrylene; homosalate,beiersdorf canada inc,small molecule,spray,topical,approved,approved,28.06.2018,2018,,,,,,,,,,,HealthCanada,,,,beiersdorf,,96904
